dialect,standard
야사하다,싸다
야삭하다,얇다
야삽하다,얍삽하다
정강시럽다,정갈스럽다
정갈시럽다,정갈스럽다
제거럽다,가렵다
제리다,저리다
제업다,지겹다
제웁다,겹다
젭다,겹다
조라지다,인색하다
조접하다,조잡하다
졸갑시럽다,조급스럽다
물샐틈엄따,물샐틈없다
주지넙다,주제넘다
무간심하다,무관심하다
무간하다,무관하다
무지리하다,무지근하다
무능타,무능하다
무대다,무디다
무덥덥하다,무덥다
무리다,무르다
무시시하다,무시무시하다
무심타,무심하다
무시쪼가리겉다,무쪽같다
무시하다,무시무시하다
무작시럽다,무작스럽다
무작시릅다,무작스럽다
무정타,무정하다
묵고시리하다,궁금하다
묵구시하다,궁금하다
묵달시럽다,먹음직스럽다
묵달지다,먹음직스럽다
묵지근하다,무지근하다
문제엄따,문제없다
물구리하다,물그레하다
물구수룸하다,물그스름하다
물구수리하다,물그스레하다
물색엄따,물색없다
뭉뚱뭉뚱하다,뭉떵뭉떵하다
뭉뚱하다,뭉떵하다
뭉퉁뭉퉁하다,뭉텅뭉텅하다
뭉퉁하다,뭉툭하다
뭉퉁하다,뭉텅하다
므석하다,무엇하다
미까랍다,미끄럽다
미끄리하다,미끈둥하다
미꿈하다,미끈하다
미끄랍다,미끄럽다
미끔하다,미끈하다
미련받다,미련하다
미련타,미련하다
미서껍다,메스껍다
미싱하다,메스껍다
미식거리다,메스껍다
미안시럽다,미안스럽다
미안타,미안하다
미얄시럽다,얄밉다
미얄지다,얄밉상스럽다
미지거리하다,미지근하다
미쭛하다,미쭉하다
미하다,아름답다
민민하다,밋밋하다
바둑판겉다,바둑판같다
바래다,바르다
바리다,바르다
발그리하다,발그레하다
발그무리하다,발그무레하다
발그수리하다,발그스레하다
박속겉다,박속같다
반덜반덜하다,반드럽다
반지리하다,반지레하다
발그쪽쪽하다,발그족족하다
방정밪다,방정맞다
밥맛엄따,밥맛없다
촌시럽다,촌스럽다
추상겉다,추상같다
추줍다,추접하다
추집다,추저분하다
치사시럽다,치사스럽다
칼칼하다,깨끗하다
칼컬타,깨끗하다
캐칼하다,깨끗하다
캠캠하다,캄캄하다
커담하다,커다랗다
크댄하다,커다랗다
큼적하다,큼직하다
키키하다,퀴퀴하다
막데다,막되다
막데묵다,막돼먹다
말감하다,말갛다
말그리하다,말그레하다
말그수룸하다,말그스름하다
말금하다,맑다
맛엄따,맛없다
망칙하다,망측하다
매그랍다,맵다
매꼬롬하다,매끈하다
매끔하다,말끔하다
매롱매롱하다,말똥말똥하다
매릅다,마렵다
매마르다,메마르다
맨질맨질하다,만질만질하다
매지그리하다,매지근하다
매짜다,맵짜다
매착엄따,두서없다
매초로미허다,가지런하다
맵쌔하다,맵싸하다
맵씨하다,맵싸하다
맨드리하다,매끈하다
맨들맨들하다,매끌매끌하다
맨맨찮다,만만찮다
맨맨하다,만만하다
