dialect,standard
지짝,제짝
지첨약,기침약
지총,기장
지침,기침
지침벵,기침병
지포,쥐포
지포라기,지푸라기
지포래기,지푸라기
지푸기,깊이
지푸래이,지푸라기
지푸래이풀비,풀비
지푸랭이,지푸라기
지풰기풀비,풀비
지풰이,지푸라기
지힘,제힘
직,저녁
직간,측간
직업벵,직업병
진개,진눈깨비
진도바리,진두발
진두물,진딧물
진득,진흙
진등,긴등
진떡,진흙
진버심,진버짐
진버즘,진버짐
진섬,점심
진세,진눈깨비
진손,증손
진손가락,가운뎃손가락
진손구락,가운뎃손가락
진손자,증손자
진자치,자치기
진지렁물,지지랑물
진지레기,쓰레기
진지리,진저리
진질미,진저리
진처매,긴치마
질짐승,길짐승
진틀,샘
진틀밭,진밭
진페기밭,진펄
진헉,진흙
진홀,진흙
질나래미,짚홰기
질금나물,숙주나물
질금너물,숙주나물
질도랑,도랑
질라라비,잠자리
질라래비,잠자리
질바닥,길바닥
질수,방법
질쌈,길쌈
질쌈노래,길쌈노래
질쌈질,길쌈질
질지리,귀뚜라미
달람질,달음질
짐밥,김밥
짐빵,질빵
짐섬,점심
짐장거리,김장거리
짐장독,김장독
짐치국,김칫국
짐치국물,김칫국
짐치몰국,김칫국
집갱이,집고양이
집고니,거위
집구숙,집구석
집만데이,용마루
집만뎅이,용마루
집몬뎅이,용마루
집믈레이,용마루
집믈렝이,용마루
집뽐,집뼘
집서랑,추녀
집손가락,집게손가락
집수석,처마
집수숙,기스락
집수슥,기스락
집스랑물,낙숫물
집스승물,낙숫물
집시락,기스락
찌베룩,쥐벼룩
집엣사람,아내
집주석,처마
집지석,처마
집지슥물,낙숫물
집지슭물,낙숫물
짓가락,젓가락
짓가시,젓가락
짓저래기,귀뚜라미
징,저녁
징검새우,징거미새우
징때,저녁때
징어리,정어리
징어리,지렁이
징조모,증조모
징조할매,증조할머니
징조할무이,증조할머니
징조할배,증조할아버지
징조할아부지,증조할아버지
징징,곤지곤지
징피,바보
담안감,우린감
짚메떼이,자리개
짚메메디,자리개
짚물,지지랑물
짚북더미,짚북데기
짚북디기,짚북데기
짚북딩이,짚북데기
짚비까리,짚가리
짚소그리,삼태기
짚소꾸리,삼태기
짚소쿠리,삼태기
짚썩은물,지지랑물
짚은새미,두레우물
짚집,초가집
짚풀빗자루,풀비
짚홰,짚홰기
짚홰미,짚홰기
찐절거지,찌개
짜감,간지럼
짜게이틀,덫
짜구,덫
짜구사리,자귀나무
짜구질,자귀질
짜른바늘,작은바늘
짜른중우,잠방이
짜른침,작은바늘
짜린중우,잠방이
짜배이,공짜
짜부락,띠
짜시리,자투리
짜새받기,공기받기
짜징,짜증
담안술,집에서 직접 담근 술
짝댕이,작대기
쪼르게,겉절이
짝두바리,바지랑대
짝두콩,강낭콩
짝지칼,잭나이프
짝자구리,딱따구리
짝잽이,왼손잡이
짝지,지겟작대기
짝짜구,딱따구리
짝짱구,짝짜꿍
짝짱구짝짱구,짝짜꿍짝짜꿍
짝째구리,딱따구리
짝째이,짝짝이
짠내,지린내
짠다고동,다슬기
짠다구,잔디
짠다구,소견머리
짠보,울보
짠새미,투정쟁이
짠지,띠
짠지,잔디
짠지레기,지스러기
짤래비,잠자리
짤피,나사말
짬,졸음
짬디,잔디
짬빼이,잠방이
짬자리,잠자리
짱,자치기
짱고리,정수리
짱구벌레,장구벌레
짱다리,장다리무
짱다리무시,장다리무
짱아,장어
짱아리,장다리무
짱애,장어
짱어,뱀장어
짱장구리,딱따구리
째끔,조금
쨋장,기왓장
쨍기,쟁기
쨍이,쟁기
쫄때,졸때기
쫄때이,졸때기
쩍돌,자갈
쩔뚝배이,절뚝발이
쩔록발,절름발
쩔록발이,절름발이
쩔룩발,절름발
쩔룩배이,절름발이
쩔룩뱅이,쩔룩발이
쩔룽배기,절름발이
쩟국,젓국
쩟국물,젓국물
쩨끼적삼,조끼적삼
쩨끼치매,조끼치마
쩨짠디,띠
쪼가리김치,깍두기
쪼가리지,깍두기
쪼가리짐치,깍두기
쪼구랑할마이,쪼그랑할멈
쪼구래이박,조롱박
쪼구레이,조롱박
쪼구렝이,조롱박
쪼그렝이,조롱박
쪼꼬마이,꼬맹이
쪼께이,조금
쪼껜,조금
쫄띠기,졸병
쪼꾸매,조금
쪼다리,멍청이
쪼대,곰방대
쪼대,쪼다
쪼대홀,진흙
쪼대흘,진흙
쪼랑말,조랑말
쪼랭이,조롱박
쪼레박,조롱박
쪼바리,고들빼기
쪼리개,조림
쪼마이,주머니
쪼무래이,조무래기
쪼무랭이,조무래기
쪼새,공기
쪼우,종이
쪼이개,조이개
쪽,국자
쪽바가치,쪽박
쪽배이,쪽박
쪽새미,박우물
쪽자,귀이개
쫀채이,땅딸이
쫑다리,종
쪽지게,족집게
쫄가리,줄기
쫄대,벼훑이
쫄빙,졸병
쫄자,졸자
쫌부래이,조무래기
쫌상이,좀생이
쫌새미,좀생이
쫑차기,제기차기
쫑감,고욤
쫑고래이,조롱박
쫑고랭이,조롱박
쫑고레이,종구라기
쫑고렝이,종구라기
쫑구라이,종구라기
쫑구래이,종구라기
쫑구렝이,종구라기
쫑그래이,종구라기
쫑꾸레이,종구라기
쫑선,종선
쫑우,종이
쬐보,째보
쭈거리,줄기
쭈구렝이,쭈그렁이
쭈구리,줄기
쭈구지,줄기
쭈굴밤셍이,쭈그렁밤송이
쭈굴살,주름살
쭈굴쌀,주름살
쭈그레이,줄기
쭈그룸살,주름살
쭈룸살,주름살
쭉대기,죽지
쭉지,어깻죽지
쭉띠기,쭉정이
쭉입사구,푸성귀
쭉제,죽지
쭉지,지느러미
쭉지개,기지개
쭉지미,주꾸미
쭉찌기,기지개
쭐룩발이,쩔룩발이
쭐개이,줄기
쭐겡,줄기
쭐겡이,줄기
쭐구레이,줄기
쭐구리,줄기
쭐구지,줄기
쭐그래이,줄기
쭐그렁이,줄기
쭐그레이,줄기
쭐그렝이,줄기
쭐기,덩굴
쭐래,내력
쯔그레기,찌꺼기
찌끄레기,찌꺼기
찌거리,찌꺼기
찌거리,부리망
찌걸음,쥐걸음
찌게,제기
찌게기,쥐치
찌구뭉,쥐구멍
찌그디이,애꾸
찌그리,부리망
찌기미,비듬
찌깨잽비,쇠똥구리
찌깸,쪼금
찌깸,쪼금
찌꺼라지,찌꺼기
찌꺼래기,찌꺼기
찌꾸,포마드
찌꼐이,찌꺼기
찌끄뎅이,찌꺼기
찌끼기,찌꺼기
찌끼미,지킴이
찌낑이,찌꺼기
찌돌,진흙
찌드기,진드기
찌득,진흙
찌띠,쥐띠
찌렁내,지린내
찌르기,여치
찌르리,여치
찌르리기,여치
찌르링이,여치
찌른내,지린내
찌리기,여치
찌린내,지린내
찌미,기미
찌새,물총새
찌색,쥐색
찌시리기,지스러기
찌약,쥐약
착상,책상
찌지개,기지개
찌찌기,찌꺼기
찍개,망치
찍게벌레,쇠똥구리
찍게재삐,쇠똥구리
찐지래기,지스러기
찐기기,진드기
찐더기,진드기
